SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532728,MALU PAPER  ,B ,Q,24.50,25.70,24.50,25.45,25.05,24.55,25,621,15491.00,
532729,UTTAM SUGAR ,B ,Q,93.20,96.05,91.50,95.75,95.80,92.40,373,10131,946443.00,
532730,STL GLOBAL  ,B ,Q,8.71,8.71,8.59,8.59,8.59,8.54,6,29,249.00,
532732,KEWAL KIRAN ,B ,Q,815.00,850.00,805.00,820.00,820.00,823.20,22,65,52903.00,
532733,SUN TVNET   ,A ,Q,459.25,466.95,454.75,464.90,466.95,453.50,1114,56718,26144197.00,
532734,GODAWARI POW,A ,Q,763.65,772.00,747.70,762.25,757.30,750.80,390,5974,4531642.00,
532735,RSYSTEMINT  ,A ,Q,112.50,116.75,111.00,114.90,116.75,110.65,101,6473,729817.00,
532737,EMKAY GLOB F,B ,Q,63.00,64.35,63.00,63.65,63.65,62.45,93,1960,124799.00,
532738,TANTIA CONS ,Z ,Q,4.48,4.48,4.47,4.48,4.48,4.27,22,13006,58256.00,
532740,LOKESH MACH ,T ,Q,45.45,45.65,42.55,45.65,45.65,43.50,58,19823,885680.00,
532741,KAMDHENU    ,B ,Q,143.90,147.00,141.80,144.80,144.50,140.45,423,16831,2436011.00,
532742,PAUSHAK LTD ,B ,Q,7555.00,7869.00,7500.00,7668.90,7668.90,7703.00,183,344,2623954.00,
532744,GTN TEXTILE ,B ,Q,5.10,5.10,5.10,5.10,5.10,5.09,1,1,5.00,
532745,INDICAP     ,X ,Q,33.20,34.95,31.35,33.00,33.00,34.05,83,17163,563264.00,
532746,UNITY INFRA ,Z ,Q,0.80,0.80,0.80,0.80,0.80,0.80,1,368,294.00,
532748,PRIME FOCUS ,B ,Q,65.00,65.75,63.75,64.10,64.10,63.95,215,6059,390409.00,
532749,ALLCARGO    ,A ,Q,123.00,124.90,123.00,123.90,123.50,123.20,221,7739,956194.00,
532754,GMR INFRASTR,A ,Q,23.70,24.45,23.35,24.25,24.30,23.35,605,622776,14856960.00,
532755,TECH MAH    ,A ,Q,1035.00,1050.00,983.30,1001.30,1001.30,1038.10,6457,205785,206421586.00,
532756,MAHINDCIE   ,A ,Q,157.10,161.60,156.50,160.40,160.55,158.25,1375,46953,7487723.00,
532757,VOLTAMP TRAN,A ,Q,1045.00,1068.85,1040.75,1064.20,1062.00,1033.90,229,571,604632.00,
532759,ATLANTA     ,B ,Q,7.01,7.06,6.84,6.99,7.06,7.01,6,408,2852.00,
532760,DEEPENR     ,B ,Q,34.15,34.45,33.65,34.05,34.05,34.05,75,17947,607003.00,
532761,HOV SERVICES,T ,Q,48.55,48.55,48.55,48.55,48.55,51.10,11,2022,98168.00,
532762,ACTION CONST,A ,Q,155.80,156.75,150.00,152.75,152.75,150.25,758,28385,4365531.00,
532764,GEECEE      ,B ,Q,105.75,105.75,102.15,102.40,103.35,101.95,31,1277,131442.00,
532767,GAYATRI PROJ,B ,Q,28.05,30.00,28.05,29.20,29.15,28.85,141,20421,601002.00,
532768,FIEM INDS   ,B ,Q,551.00,558.25,540.00,548.45,550.00,548.90,190,730,400154.00,
532771,JHS SVEN    ,T ,Q,20.80,21.40,20.80,21.30,21.30,20.70,12,3648,76861.00,
532772,DCBBANK     ,A ,Q,92.55,94.50,91.90,94.10,94.50,92.30,539,66026,6168447.00,
532773,GLOBAL VECT ,Z ,Q,40.45,40.45,36.65,38.05,38.05,38.55,136,24301,901300.00,
532774,INSPIRISYS  ,B ,Q,42.75,43.55,42.60,42.70,42.70,42.15,24,1559,66931.00,
532775,GTL INFRAST ,B ,Q,0.67,0.71,0.65,0.66,0.66,0.68,1590,10343672,7073203.00,
532776,SHIVAM AUTO ,B ,Q,15.55,17.45,15.55,16.70,16.65,16.70,77,6562,109165.00,
532777,INFO EDGE   ,A ,Q,4770.00,4795.45,4522.45,4560.40,4560.00,4743.30,2619,24028,111350770.00,
532779,TORNT POWER ,A ,Q,394.20,406.70,388.75,397.30,394.25,400.50,1597,76200,30220487.00,
532780,PARSVNATH   ,T ,Q,8.00,8.00,7.88,7.99,7.99,8.29,59,24474,193700.00,
532782,SUTLEJ TEXT ,B ,Q,39.35,42.70,37.70,42.35,42.35,39.05,812,56051,2303018.00,
532783,DAAWAT      ,A ,Q,63.10,68.40,63.10,67.35,67.35,63.30,1540,383213,25375236.00,
532784,SOBHA       ,A ,Q,477.00,548.00,475.00,528.65,528.65,467.10,6775,112096,58459843.00,
532785,RUCHIRA PAP ,B ,Q,62.05,70.95,61.45,61.75,62.00,59.90,78,4875,304131.00,
532790,TANLA       ,B ,Q,920.20,967.90,920.20,954.85,954.85,937.35,1646,28510,26994378.00,
